,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,task,trainable_params
0,0.74972,0.9999555555555556,Maxlen 512,0.5,30,0.7496699339867974,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.0,0.0,IMDB binary classification,287490
1,0.73516,0.9999555555555556,Maxlen 512,0.5,30,0.7333360183656208,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.01,0.0,IMDB binary classification,287490
2,0.72212,0.9999555555555556,Maxlen 512,0.5,30,0.7129220215711393,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.025,0.0,IMDB binary classification,287490
3,0.69792,0.9999555555555556,Maxlen 512,0.5,30,0.6756849609207249,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.05,0.0,IMDB binary classification,287490
4,0.67232,0.9999555555555556,Maxlen 512,0.5,30,0.6293212669683258,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.075,0.0,IMDB binary classification,287490
5,0.64688,0.9999555555555556,Maxlen 512,0.5,30,0.5823239969719909,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.1,0.0,IMDB binary classification,287490
6,0.62072,0.9999555555555556,Maxlen 512,0.5,30,0.523613344051447,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.125,0.0,IMDB binary classification,287490
7,0.60152,0.9999555555555556,Maxlen 512,0.5,30,0.4704443971932809,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.15,0.0,IMDB binary classification,287490
8,0.58172,0.9999555555555556,Maxlen 512,0.5,30,0.4141408482267914,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.175,0.0,IMDB binary classification,287490
9,0.56568,0.9999555555555556,Maxlen 512,0.5,30,0.3557612436216922,0.9999555654299045,<function xavier_normal at 0x7f843d1b9048>,0.0001,"CharCNN(
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.2,0.0,IMDB binary classification,287490
