,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,run_name,task,trainable_params
0,0.73616,0.7863058823529412,Maxlen 512,0.5,30,0.7406009123800534,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.0,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
1,0.73556,0.7863058823529412,Maxlen 512,0.5,30,0.7390566410104599,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.005,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
2,0.73228,0.7863058823529412,Maxlen 512,0.5,30,0.7343942219929362,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.01,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
3,0.72304,0.7863058823529412,Maxlen 512,0.5,30,0.7230621550275979,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.025,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
4,0.70412,0.7863058823529412,Maxlen 512,0.5,30,0.6967075320841364,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.05,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
5,0.69264,0.7863058823529412,Maxlen 512,0.5,30,0.6780626780626781,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.075,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
6,0.67388,0.7863058823529412,Maxlen 512,0.5,30,0.6515067322077367,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.1,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
7,0.65724,0.7863058823529412,Maxlen 512,0.5,30,0.6205888864290459,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.125,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
8,0.64244,0.7863058823529412,Maxlen 512,0.5,30,0.5952456418383518,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.15,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
9,0.6286,0.7863058823529412,Maxlen 512,0.5,30,0.5656140350877192,0.7904379528358485,<function xavier_normal at 0x7fa3f240e510>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 64, kernel_size=(5,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (fc): Linear(in_features=384, out_features=2, bias=True)
)",charCNN,0.175,0.0,runs/May15_07-39-40_phobos-aijun_charCNN_embed_smaller2_lr4_noise0_dropout0.5_filters64_cnn_kernel5,Mokoron binary classification,30064
