,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,task,trainable_params
0,0.73676,0.9999111111111111,Maxlen 512,0.5,30,0.7368547322963732,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.0,0.0,IMDB binary classification,293040
1,0.7262,0.9999111111111111,Maxlen 512,0.5,30,0.7240030643925649,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.01,0.0,IMDB binary classification,293040
2,0.70908,0.9999111111111111,Maxlen 512,0.5,30,0.7048175656479565,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.025,0.0,IMDB binary classification,293040
3,0.68784,0.9999111111111111,Maxlen 512,0.5,30,0.6789005924950626,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.05,0.0,IMDB binary classification,293040
4,0.66316,0.9999111111111111,Maxlen 512,0.5,30,0.6459533319318899,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.075,0.0,IMDB binary classification,293040
5,0.64944,0.9999111111111111,Maxlen 512,0.5,30,0.6244429208090503,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.1,0.0,IMDB binary classification,293040
6,0.632,0.9999111111111111,Maxlen 512,0.5,30,0.5942847062974069,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.125,0.0,IMDB binary classification,293040
7,0.61828,0.9999111111111111,Maxlen 512,0.5,30,0.5706573086786341,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.15,0.0,IMDB binary classification,293040
8,0.60816,0.9999111111111111,Maxlen 512,0.5,30,0.5462714219546086,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.175,0.0,IMDB binary classification,293040
9,0.59404,0.9999111111111111,Maxlen 512,0.5,30,0.5153063661110846,0.9999111348084955,<function xavier_normal at 0x7f1aa4d2d048>,0.0001,"CharCNN(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (conv): Sequential(
    (0): Conv1d(74, 256, kernel_size=(15,), stride=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=64, stride=32, padding=0, dilation=1, ceil_mode=False)
  )
  (fc): Linear(in_features=1536, out_features=2, bias=True)
)",charCNN,0.2,0.0,IMDB binary classification,293040
