,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,run_name,task,trainable_params
0,0.83424,0.8996705882352941,Maxlen 128,0.5,30,0.8320499311015643,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.0,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
1,0.82656,0.8996705882352941,Maxlen 128,0.5,30,0.8212106218043873,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.005,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
2,0.80808,0.8996705882352941,Maxlen 128,0.5,30,0.797450185748058,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.01,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
3,0.76692,0.8996705882352941,Maxlen 128,0.5,30,0.7347626200555328,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.025,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
4,0.6784,0.8996705882352941,Maxlen 128,0.5,30,0.5777310924369748,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.05,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
5,0.61224,0.8996705882352941,Maxlen 128,0.5,30,0.421875,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.075,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
6,0.56776,0.8996705882352941,Maxlen 128,0.5,30,0.2951076320939335,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.1,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
7,0.53852,0.8996705882352941,Maxlen 128,0.5,30,0.19608389659257194,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.125,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
8,0.52028,0.8996705882352941,Maxlen 128,0.5,30,0.1333911409783944,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.15,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
9,0.5142,0.8996705882352941,Maxlen 128,0.5,30,0.10150181253236665,0.8987654320987655,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.175,0.0,runs/May16_14-54-06_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_IMDB,IMDB binary classification,429058
