,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,run_name,task,trainable_params
0,0.7500919793966152,0.9004388731209924,Maxlen 32,0.5,30,0.7588818222156486,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.0,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
1,0.7409553593328427,0.9004388731209924,Maxlen 32,0.5,30,0.7512292789211789,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.005,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
2,0.7334743684081433,0.9004388731209924,Maxlen 32,0.5,30,0.7449760905917212,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.01,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
3,0.710663478047584,0.9004388731209924,Maxlen 32,0.5,30,0.7251812807594863,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.025,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
4,0.6753433897473633,0.9004388731209924,Maxlen 32,0.5,30,0.697673090649536,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.05,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
5,0.643579838116262,0.9004388731209924,Maxlen 32,0.5,30,0.6705025367761683,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.075,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
6,0.6256745155751778,0.9004388731209924,Maxlen 32,0.5,30,0.6569252817039931,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.1,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
7,0.6079224920284523,0.9004388731209924,Maxlen 32,0.5,30,0.6423137167151488,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.125,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
8,0.5917954378219279,0.9004388731209924,Maxlen 32,0.5,30,0.6280797809933516,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.15,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
9,0.5789489820946775,0.9004388731209924,Maxlen 32,0.5,30,0.6167499232551,0.9036421904010987,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0.5)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.175,0.0,runs/May15_00-58-41_phobos-aijun_FastTextGRU_lr4_dropout0.5_embed_layers1_hidden256_noise_level0_mokoron_no_emoji,Mokoron binary classification,429058
