,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,run_name,task,trainable_params
0,0.6985835172921265,0.7033730158730159,Maxlen 32,0,1,0.6994956441999083,0.7040321999121583,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.0,0,runs/May14_01-38-11_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
1,0.6934633308805495,0.6958307053505729,Maxlen 32,0,1,0.7225090202608937,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.0,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
2,0.6889870002452784,0.6958307053505729,Maxlen 32,0,1,0.721731497229385,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.005,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
3,0.6815673289183223,0.6958307053505729,Maxlen 32,0,1,0.7184908115140674,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.01,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
4,0.6641832229580574,0.6958307053505729,Maxlen 32,0,1,0.7123460356645744,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.025,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
5,0.6388275692911455,0.6958307053505729,Maxlen 32,0,1,0.703095070067547,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.05,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
6,0.6165685553102772,0.6958307053505729,Maxlen 32,0,1,0.6958213747142092,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.075,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
7,0.6005028207014962,0.6958307053505729,Maxlen 32,0,1,0.6903075533583686,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.1,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
8,0.5844370860927153,0.6958307053505729,Maxlen 32,0,1,0.6848786385194829,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.125,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
9,0.5774159921510915,0.6958307053505729,Maxlen 32,0,1,0.6840717904050244,0.7243914490329263,,0.0001,"SimpleRNN(
  (rnn): GRU(300, 256)
  (dropout): Dropout(p=0)
  (projector): Linear(in_features=256, out_features=2, bias=True)
)",FasttextGRU,0.15,0,runs/May14_01-42-08_phobos-aijun_FastTextGRU_lr4_dropout0_embed_layers1_hidden256_noise_level0_test_no_emoji,Mokoron binary classification,429058
