,acc_test,acc_train,data_desc,dropout,epochs,f1_test,f1_train,init_function,lr,model_desc,model_type,noise_level_test,noise_level_train,run_name,task,trainable_params
0,0.80496,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.8091286307053943,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.0,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
1,0.79808,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.8015567261577168,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.005,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
2,0.79172,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.7947494974181086,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.01,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
3,0.77268,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.7727981449646184,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.025,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
4,0.7364,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.7312178807406803,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.05,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
5,0.70772,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.6939476439790576,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.075,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
6,0.67324,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.6488113150767378,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.1,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
7,0.648,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.6114104036032854,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.125,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
8,0.61728,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.5659196080210508,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.15,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
9,0.60304,0.9920941176470588,"MaxWordLen 8, MaxTexLen 128",0.5,30,0.5372132064913262,0.9921089713480508,,0.001,"YoonKimModel(
  (embedding): Linear(in_features=74, out_features=74, bias=True)
  (chars_cnn): Sequential(
    (0): Conv1d(74, 256, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): MaxPool1d(kernel_size=8, stride=8, padding=0, dilation=1, ceil_mode=False)
  )
  (dropout): Dropout(p=0.5)
  (words_rnn): GRU(256, 128)
  (projector): Linear(in_features=128, out_features=2, bias=True)
)",charCNN,0.175,0.0,runs/May16_01-26-06_phobos-aijun_YoonKim_lr3_noise_level0_wordlen8_IMDB,Mokoron binary classification,249008
